trip_id,stop_sequence,stop_id,arrival_time,departure_time
trip_1,1,stop_1,10:00:00,10:00:00
trip_1,2,stop_2,10:10:00,10:10:00
trip_1,3,stop_3,10:30:00,10:30:00
trip_2,1,stop_3,10:30:00,10:30:00
trip_2,3,stop_1,11:00:00,11:00:00
trip_3,1,stop_1,15:00:00,15:00:00
trip_3,3,stop_3,15:30:00,15:30:00
trip_4,1,stop_3,15:30:00,15:30:00
trip_4,2,stop_2,15:50:00,15:50:00
trip_4,3,stop_1,16:00:00,16:00:00
trip_5,1,stop_1,07:00:00,07:00:00
trip_5,2,stop_2,07:10:00,07:10:00
trip_5,3,stop_3,07:30:00,07:30:00
trip_6,1,stop_3,07:30:00,07:30:00
trip_6,2,stop_2,07:50:00,07:50:00
trip_6,3,stop_3,08:00:00,08:00:00
trip_7,1,stop_1,12:00:00,12:00:00
trip_7,2,stop_2,12:08:00,12:08:00
trip_7,3,stop_3,12:25:00,12:25:00
trip_8,1,stop_3,12:25:00,12:25:00
trip_8,2,stop_2,12:37:00,12:42:00
trip_8,3,stop_1,12:50:00,12:50:00
